ID;value;MSE
893;0;1992.4439400980445
894;0;2281.0762451478868
895;0;2084.382778415614
896;0;2069.9015991471215
897;0;1942.1735411768993
898;0;1930.7159422666884
899;0;1973.931382009367
900;0;2235.241840249303
901;0;1959.4548635029978
902;0;2070.279955533687
903;0;1912.4372132013923
904;0;2114.1765854791975
905;0;2019.0482372933866
906;0;2009.8438617352797
907;0;1942.0279345033077
908;0;1722.9743302717184
909;0;1765.5106427569115
910;0;1525.4118031636688
911;0;1526.2258752027408
912;0;1626.5135631366975
913;0;2005.8609402620596
914;0;1673.9248824558526
915;0;1559.6624437337123
916;0;1423.6092850764492
917;0;1787.8487184043154
918;0;1559.064465219689
919;1;10518.47823838682
920;1;9952.563362218212
921;1;13872.190211488345
922;1;13213.736075574509
923;1;12936.521154301752
924;1;12203.338828750022
925;1;13256.735352085725
926;1;12119.335363931259
927;1;8392.497135658703
928;1;5971.302713082937
929;1;5114.99567364642
930;1;4580.504104022015
931;1;5377.474395422157
932;1;4360.262748984018
933;1;8578.57569706413
934;1;9008.43824740765
935;1;8775.138918047127
936;1;7414.859241794689
937;1;8582.804226577735
938;1;3589.373401308476
939;1;4956.402457492756
940;1;4671.026386383102
941;1;4273.376320321469
942;1;2872.1508373881506
943;1;3604.1692685838207
944;1;2367.193318207497
945;1;6606.695559291455
946;1;3866.047129735936
947;1;6871.659533832668
948;1;6014.047111967634
949;1;5138.074346673227
950;1;3499.4467315437464
951;1;10160.13650565852
952;1;4626.549215005558
953;1;6961.4958804876715
954;1;3932.0447619958813
955;1;2207.2452280720936
956;1;2610.618991124961
957;1;11347.168160570773
958;1;3326.4113580449402
959;1;5527.31044138283
960;1;3093.7226154028394
961;1;7115.404163249686
962;1;5036.4044653108085
963;1;782.4213087492939
964;1;472.79486769449454
965;1;1294.3406488619175
966;1;555.5173915222423
967;1;308.0955602026498
968;1;313.84435332495036
969;1;501.7513002751809
970;1;1247.0801824212272
971;1;951.453369598892
972;1;793.3886802252474
973;1;899.8714003243854
974;1;646.8946121043136
975;1;1740.5895094126438
976;1;1397.614775937164
977;1;423.04913072002626
978;1;268.83495434913345
979;1;274.44606546024454
980;1;324.2998250505713
981;1;217.3648734350227
982;1;324.34471142456215
983;1;287.2507079984692
984;1;557.4223771253622
985;1;347.9514588231006
986;1;9659.477243361946
987;1;7575.443191095803
988;1;8096.956307746979
989;1;1217.982435350719
990;1;1943.3783158383906
991;1;6123.127225138046
992;1;4746.044030306343
993;1;4934.511297450476
994;1;4883.01224418202
995;1;4205.756137353525
996;1;6925.332818508192
997;1;7353.857469976127
998;1;876.453832485922
999;1;15080.988245129663
